normal,gen_z,literal_segments,slang_segments,literal_positions,slang_positions,num_differences
I'm really tired today because I stayed up late watching shows.,I'm totally exhausted today ’cause I binge-watched all night. ,really tired | because | stayed up late watching shows.,totally exhausted | ’cause | binge-watched all night.,"[(1, 3), (4, 5), (6, 11)]","[(1, 3), (4, 5), (6, 9)]",3
I'm really tired today and I just want to relax.,"I'm so wiped today, just tryna chill and vibe.",really tired today | I just want to relax.,"so wiped today, just tryna chill | vibe.","[(1, 4), (5, 10)]","[(1, 7), (8, 9)]",2
I'm just heading to the grocery store to pick up some stuff.,I'm just dashing to the store to grab some snacks and stuff.,heading | grocery | pick up,dashing | grab | snacks and,"[(2, 3), (5, 6), (8, 10), (11, 11)]","[(2, 3), (5, 5), (7, 8), (9, 11)]",3
"I'm feeling really tired today, so I think I'll stay home and relax.","I'm super drained today, so I'm just chillin' at home and vibing out.",feeling really tired | I think I'll stay | relax.,super drained | I'm just chillin' at | vibing out.,"[(1, 4), (6, 10), (12, 13)]","[(1, 3), (5, 9), (11, 13)]",3
"I'm feeling really tired today, so I might just stay in and relax.","I'm super drained today, so I’m just gonna chill at home and vibing.",feeling really tired | I might | stay in | relax.,super drained | I’m | gonna chill at home | vibing.,"[(1, 4), (6, 8), (9, 11), (12, 13)]","[(1, 3), (5, 6), (7, 11), (12, 13)]",4
I'm really tired today because I didn’t get much sleep last night.,I'm totally wiped today ’cause I didn’t catch enough Z’s last night.,really tired | because | get much sleep,totally wiped | ’cause | catch enough Z’s,"[(1, 3), (4, 5), (7, 10)]","[(1, 3), (4, 5), (7, 10)]",3
"Hey, do you want to grab pizza tonight?","Yo, wanna snag some pizza tonight? Let's fucc it up!","Hey, do you want to grab","Yo, wanna snag some | Let's fucc it up!","[(0, 6), (8, 8)]","[(0, 4), (6, 10)]",1
I’m just chilling at home and watching some videos.,"I’m just vibing at home, scrolling through vids.",chilling | home and watching some videos.,"vibing | home, scrolling through vids.","[(2, 3), (4, 9)]","[(2, 3), (4, 8)]",2
I'm so tired because I stayed up late last night.,I'm dead tired 'cause I pulled an all-nighter last night.,so | because | stayed up late,dead | 'cause | pulled an all-nighter,"[(1, 2), (3, 4), (5, 8)]","[(1, 2), (3, 4), (5, 8)]",3
I'm just tired today because I didn't get enough sleep.,I'm hella drained today 'cause I didn’t catch enough Z’s.,just tired | because | didn't get | sleep.,hella drained | 'cause | didn’t catch | Z’s.,"[(1, 3), (4, 5), (6, 8), (9, 10)]","[(1, 3), (4, 5), (6, 8), (9, 10)]",4
"Hey, I think I'm going to grab some coffee after work.","Yo, I’m finna copped some coffee after shift, fr.","Hey, I think I'm going to grab | work.","Yo, I’m finna copped | shift, fr.","[(0, 7), (10, 11)]","[(0, 4), (7, 9)]",2
I'm going to grab some food before I head out.,I'm finna snag some grub before I dip out.,going to grab | food | head,finna snag | grub | dip,"[(1, 4), (5, 6), (8, 9)]","[(1, 3), (4, 5), (7, 8)]",3
"Hey, I just saw a really cool movie last night.","Yo, I peeped a lit flick last night!","Hey, | just saw | really cool movie | night.","Yo, | peeped | lit flick | night!","[(0, 1), (2, 4), (5, 8), (9, 10)]","[(0, 1), (2, 3), (4, 6), (7, 8)]",4
I'm really tired today and just want to stay home and relax.,I'm mad exhausted today and just wanna chill at home LOL.,really tired | want to stay | and relax.,mad exhausted | wanna chill at | LOL.,"[(1, 3), (6, 9), (10, 12)]","[(1, 3), (6, 9), (10, 11)]",3
I'm really tired today and just want to relax after work.,"I'm hella worn out today and just wanna chill after work, fr.",really tired | want to relax | work.,"hella worn out | wanna chill | work, fr.","[(1, 3), (6, 9), (10, 11)]","[(1, 4), (7, 9), (10, 12)]",3
"I'm really tired today, I didn't sleep well last night.","I'm super drained today, barely slept a wink last night.",really tired | I didn't sleep well,super drained | barely slept a wink,"[(1, 3), (4, 8)]","[(1, 3), (4, 8)]",2
I'm just waiting for my friend to arrive so we can go get some food.,Just vibing till my homie pulls up so we can hit up some grub.,I'm just waiting for | friend to arrive | go get | food.,Just vibing till | homie pulls up | hit up | grub.,"[(0, 4), (5, 8), (11, 13), (14, 15)]","[(0, 3), (4, 7), (10, 12), (13, 14)]",4
I'm just going to relax and watch some YouTube videos tonight.,"Chilling and vibing with some vids on YouTube tonight, fr.",I'm just going to relax | watch | videos tonight.,"Chilling | vibing with | vids on | tonight, fr.","[(0, 5), (6, 7), (8, 8), (9, 11)]","[(0, 1), (2, 4), (5, 7), (8, 10)]",3
I'm going to the mall later to hang out with my friends.,"I'm vibing at the mall later with my squad, no cap.",going to | to hang out | friends.,"vibing at | squad, no cap.","[(1, 3), (6, 9), (11, 12)]","[(1, 3), (6, 6), (8, 11)]",3
I'm just really tired today and don't feel like hanging out.,I'm mad tired today and not vibing to hang out.,just really | don't feel like hanging,mad | not vibing to hang,"[(1, 3), (6, 10)]","[(1, 2), (5, 9)]",2
I'm just chilling at home watching some shows.,"I'm just vibing at home, binge-watching some stuff.",chilling | home watching | shows.,"vibing | home, binge-watching | stuff.","[(2, 3), (4, 6), (7, 8)]","[(2, 3), (4, 6), (7, 8)]",3
"Hey, did you see the new movie that everyone is talking about?","Yo, did you peep that new flick everyone’s lowkey vibing with?","Hey, | see the | movie that everyone is talking about?","Yo, | peep that | flick everyone’s lowkey vibing with?","[(0, 1), (3, 5), (6, 12)]","[(0, 1), (3, 5), (6, 11)]",3
I'm going to grab some coffee later with a friend.,"I'm finna get some coffee with my homie later, fr.",going to grab | later | a friend.,"finna get | my homie later, fr.","[(1, 4), (6, 7), (8, 10)]","[(1, 3), (5, 5), (6, 10)]",3
"Hey, I just finished my homework and I'm feeling pretty good about it.","Yo, just wrapped up my homework and vibe check is high 🆒!","Hey, I | finished | I'm feeling pretty good about it.","Yo, | wrapped up | vibe check is high 🆒!","[(0, 2), (3, 4), (7, 13)]","[(0, 1), (2, 4), (7, 12)]",3
"Hey, do you want to hang out after school today?","Yo, you tryna chill after class today?","Hey, do | want to hang out | school","Yo, | tryna chill | class","[(0, 2), (3, 7), (8, 9)]","[(0, 1), (2, 4), (5, 6)]",3
"Hey, do you want to grab a coffee after class?","Yo, wanna snag a coffee after class?","Hey, do you want to grab","Yo, wanna snag","[(0, 6)]","[(0, 3)]",1
I'm just going to grab some coffee before I start working.,I’m just finna snag some coffee before I dip into work.,I'm | going to grab | start working.,I’m | finna snag | dip into work.,"[(0, 1), (2, 5), (9, 11)]","[(0, 1), (2, 4), (8, 11)]",3
"Hey, did you see that new movie everyone was talking about?","Yo, did you peep that new flick everyone's vibing with?","Hey, | see | movie everyone was talking about?","Yo, | peep | flick everyone's vibing with?","[(0, 1), (3, 4), (6, 11)]","[(0, 1), (3, 4), (6, 10)]",3
"I'm really tired today, so I think I’ll just stay in and relax.","I'm totally wiped today, so I’m gonna chill at home and vibing.",really tired | I think I’ll just stay in | relax.,totally wiped | I’m gonna chill at home | vibing.,"[(1, 3), (5, 11), (12, 13)]","[(1, 3), (5, 10), (11, 12)]",3
"I'm really tired today, I just want to relax and chill out.","I'm super drained today, just wanna kick back and veg out.",really tired | I | want to relax | chill,super drained | wanna kick back | veg,"[(1, 3), (4, 5), (6, 9), (10, 11)]","[(1, 3), (4, 4), (5, 8), (9, 10)]",4
I just finished my homework and I'm ready to relax.,"Just knocked out my homework, now I'm chillin' and vibin'.",I just finished | homework | I'm ready to relax.,"Just knocked out | homework, now I'm chillin' | vibin'.","[(0, 3), (4, 5), (6, 10)]","[(0, 3), (4, 8), (9, 10)]",3
"Hey, want to grab some coffee later?","Yo, down to get some coffee later?","Hey, want | grab","Yo, down | get","[(0, 2), (3, 4)]","[(0, 2), (3, 4)]",2
"Hey, I just got back from the store and I'm really tired.","Yo, just hit the store and I'm totally drained rn.","Hey, I | got back from | really tired.","Yo, | hit | totally drained rn.","[(0, 2), (3, 6), (10, 12)]","[(0, 1), (2, 3), (7, 10)]",3
I'm so tired after studying all day.,I'm deadass exhausted after grinding all day.,so tired | studying,deadass exhausted | grinding,"[(1, 3), (4, 5)]","[(1, 3), (4, 5)]",2
"Hey, are you busy this weekend?","Yo, you free this weekend or what?","Hey, are | busy | weekend?","Yo, | free | weekend or what?","[(0, 2), (3, 4), (5, 6)]","[(0, 1), (2, 3), (4, 7)]",3
I'm going to hang out with my friends tomorrow.,"I'm chillin' with my crew tomorrow, no cap.",going to hang out | friends tomorrow.,"chillin' | crew tomorrow, no cap.","[(1, 5), (7, 9)]","[(1, 2), (4, 8)]",2
I'm thinking about grabbing some coffee after work.,"I'm vibing with the idea of catching some coffee after work, fr.",thinking about grabbing | work.,"vibing with the idea of catching | work, fr.","[(1, 4), (7, 8)]","[(1, 7), (10, 12)]",2
"Hey, I just finished my homework and I'm about to relax for a bit.","Yo, just knocked out my homework and about to chillax for a hot sec.","Hey, I | finished | I'm | relax | bit.","Yo, | knocked out | chillax | hot sec.","[(0, 2), (3, 4), (7, 8), (10, 11), (13, 14)]","[(0, 1), (2, 4), (7, 7), (9, 10), (12, 14)]",5
I'm really tired after staying up late last night.,"I'm hella drained 'cause I stayed up all night, fr fr.",really tired after staying | late last night.,"hella drained 'cause I stayed | all night, fr fr.","[(1, 5), (6, 9)]","[(1, 6), (7, 11)]",2
I'm really excited to meet up with my friends later.,I'm so hyped to link up with my squad later!,really excited | meet | friends later.,so hyped | link | squad later!,"[(1, 3), (4, 5), (8, 10)]","[(1, 3), (4, 5), (8, 10)]",3
I'm just really tired today and need to relax.,I'm mad chillin' today 'cause I'm hella drained and just wanna kick back.,really tired today and need to relax.,mad chillin' today 'cause I'm hella drained and | wanna kick back.,"[(1, 1), (2, 9)]","[(1, 9), (10, 13)]",1
"I'm just chilling at home, watching some TV.","I'm just vibing at home, Netflix and chillin’.",chilling | watching some TV.,vibing | Netflix and chillin’.,"[(2, 3), (5, 8)]","[(2, 3), (5, 8)]",2
I think I'm going to skip the party tonight.,"I'm totally ghostin' the party tonight, fr fr.",I think | going to skip | tonight.,"totally ghostin' | tonight, fr fr.","[(0, 2), (3, 6), (8, 9)]","[(0, 0), (1, 3), (5, 8)]",3
I'm just going to relax at home all day today.,"I'm just chilling at home all day today, no cap.",going to relax | today.,"chilling | today, no cap.","[(2, 5), (9, 10)]","[(2, 3), (7, 10)]",2
I'm just chilling with my friends at the park.,I'm just vibing with my crew at the park.,chilling | friends,vibing | crew,"[(2, 3), (5, 6)]","[(2, 3), (5, 6)]",2
I can't believe how fun the concert was last night!,"Yo, the concert last night was straight fire!",I can't believe how fun | last night!,"Yo, | last night | straight fire!","[(0, 5), (7, 7), (8, 10)]","[(0, 1), (3, 5), (6, 8)]",2
"I'm really tired today, so I'm just going to relax at home.","I'm totally wiped today, so I'm just gonna chill at home.",really tired | going to relax,totally wiped | gonna chill,"[(1, 3), (7, 10)]","[(1, 3), (7, 9)]",2
"Hey, I was just thinking about meeting up later if you're free.","Yo, was just poppin' about linking up later if you're down.","Hey, I | thinking | meeting | free.","Yo, | poppin' | linking | down.","[(0, 2), (4, 5), (6, 7), (11, 12)]","[(0, 1), (3, 4), (5, 6), (10, 11)]",4
I'm just trying to get some sleep before my exam tomorrow.,I'm just tryna catch some Z's before my test tomorrow.,trying to get | sleep | exam,tryna catch | Z's | test,"[(2, 5), (6, 7), (9, 10)]","[(2, 4), (5, 6), (8, 9)]",3
I'm just going to grab some coffee and then go for a walk.,I'm just dippin' for some java and then vibing with a walk.,going to grab | coffee | go for,dippin' for | java | vibing with,"[(2, 5), (6, 7), (9, 11)]","[(2, 4), (5, 6), (8, 10)]",3
I'm going to grab a coffee with my friends this afternoon.,"I'm finna sip some coffee with my squad later, you feel me?",going to grab a | friends this afternoon.,"finna sip some | squad later, you feel me?","[(1, 5), (8, 11)]","[(1, 4), (7, 12)]",2
I'm really excited about the concert tomorrow.,I'm super hyped for the concert tomorrow!,really excited about | tomorrow.,super hyped for | tomorrow!,"[(1, 4), (6, 7)]","[(1, 4), (6, 7)]",2
"Hey, I'm just going to grab some coffee before work.","Yo, I'm finna hit up some coffee before my shift, fr.","Hey, | just going to grab | work.","Yo, | finna hit up | my shift, fr.","[(0, 1), (2, 6), (9, 10)]","[(0, 1), (2, 5), (8, 11)]",3
"Hey, I really like your new phone, it's awesome!","Yo, your new phone is fire, so sick!","Hey, I really like | phone, it's awesome!","Yo, | phone is fire, so sick!","[(0, 4), (6, 9)]","[(0, 1), (3, 8)]",2
I'm really excited for the weekend plans.,"Yo, I’m sooo hyped for the weekend vibes!",I'm really excited | plans.,"Yo, I’m sooo hyped | vibes!","[(0, 3), (6, 7)]","[(0, 4), (7, 8)]",2
I'm just trying to get through today without any problems.,"I'm just vibing through today, no cap, no stress.",trying to get | today without any problems.,"vibing | today, no cap, no stress.","[(2, 5), (6, 10)]","[(2, 3), (4, 9)]",2
"Hey, do you want to grab lunch today?","Yo, you tryna slide and grab some food today?","Hey, do | want to | lunch","Yo, | tryna slide and | some food","[(0, 2), (3, 5), (6, 7)]","[(0, 1), (2, 5), (6, 8)]",3
I'm feeling pretty tired today.,"I'm mad vibing with exhaustion today, no cap.",feeling pretty tired today.,"mad vibing with exhaustion today, no cap.","[(1, 5)]","[(1, 8)]",1
"Hey, do you want to hang out with me later?","Yo, wanna dip and vibe with me later?","Hey, do you want to hang out","Yo, wanna dip and vibe","[(0, 7)]","[(0, 5)]",1
"Hey, did you see the new movie tonight?","Yo, did you peep the new flick tonight?","Hey, | see | movie","Yo, | peep | flick","[(0, 1), (3, 4), (6, 7)]","[(0, 1), (3, 4), (6, 7)]",3
I'm so excited for the weekend with my friends.,I'm mega hyped for the weekend with my squad!,so excited | friends.,mega hyped | squad!,"[(1, 3), (8, 9)]","[(1, 3), (8, 9)]",2
I'm just going to grab a coffee before heading to work.,Gonna snag a coffee real quick before hitting the grind.,I'm just going to grab | heading to work.,Gonna snag | real quick | hitting the grind.,"[(0, 5), (7, 7), (8, 11)]","[(0, 2), (4, 6), (7, 10)]",2
I'm just casually relaxing at home and binge-watching a new show.,I'm just chillin' at home and binge-watching some fresh new series.,casually relaxing | a | show.,chillin' | some fresh | series.,"[(2, 4), (8, 9), (10, 11)]","[(2, 3), (7, 9), (10, 11)]",3
I'm just going to relax and watch some videos later.,"I'm just chillin' and vibin' with some vids later, fr.",going to relax | watch | videos later.,"chillin' | vibin' with | vids later, fr.","[(2, 5), (6, 7), (8, 10)]","[(2, 3), (4, 6), (7, 10)]",3
"Hey, I just finished my last class for the day.","Yo, just wrapped up my last class for the day, fr fr!","Hey, I | finished | day.","Yo, | wrapped up | day, fr fr!","[(0, 2), (3, 4), (9, 10)]","[(0, 1), (2, 4), (9, 12)]",3
I'm just really tired today.,I'm lowkey drained today.,just really tired,lowkey drained,"[(1, 4)]","[(1, 3)]",1
I'm pretty tired today because I didn't sleep well last night.,I'm low-key exhausted cuz I didn't catch enough Z’s last night.,pretty tired today because | sleep well,low-key exhausted cuz | catch enough Z’s,"[(1, 5), (7, 9)]","[(1, 4), (6, 9)]",2
I'm going to grab some coffee and then meet my friends at the park.,I'm finna snag some coffee and then link up with my squad at the park.,going to grab | meet | friends,finna snag | link up with | squad,"[(1, 4), (8, 9), (10, 11)]","[(1, 3), (7, 10), (11, 12)]",3
