normal,paraphrase,literal_segments,paraphrase_segments,literal_positions,paraphrase_positions,num_differences
"During the period between 1836 and 1846 , when Mexico was a province of independent Napa County , the following 13 ranchos were given in California :","During the era between 1836 and 1846 , when Mexico was a province of independent Napa County , the following 13 ranchos were granted in California :",period | given,era | granted,"[(2, 3), (23, 24)]","[(2, 3), (23, 24)]",2
"The Ruska Roma traditional clothing is based on traditional and Kalderash Russian clothing , and is used actively by singers and dancers .",The traditional clothing of the Ruska Roma is based on traditional and Russian calderash - clothing and is actively used by singers and dancers .,"Ruska Roma | Kalderash | , | used",of the Ruska Roma | calderash - | used,"[(1, 3), (10, 11), (13, 14), (16, 17)]","[(3, 7), (13, 15), (19, 20)]",3
Olaf Petersen is played in the television series of Mark Williams .,Olaf Petersen is played by Mark Williams in the television series .,of Mark Williams,by Mark Williams,"[(8, 11)]","[(4, 7)]",1
"A Jill Day comic strip drawn by Denis Gifford was published in Star Comics ( 1954 ) , edited by Gifford and Bob Monkhouse .","A Jill Day Comic stripe , drawn by Denis Gifford , was released in Star Comics ( 1954 ) , published by Gifford and Bob Monkhouse .",comic strip | published | edited,"Comic stripe , | , | released | published","[(3, 5), (10, 11), (18, 19)]","[(3, 6), (10, 11), (12, 13), (20, 21)]",4
His wife Eddy was the one who made most of the appointments with the great artists for Tania G. Novarro .,His wife Eddy was the one who made the most of the dates with the great artists for Tania G. Novarro .,appointments,the | dates,"[(11, 12)]","[(8, 9), (12, 13)]",2
"In the action they suffered five wounded men , the British had no loss .",In the action they suffered five men wounded ; the British had no casualties .,"wounded | , | loss",wounded ; | casualties,"[(6, 7), (8, 9), (13, 14)]","[(7, 9), (13, 14)]",2
"On December 31 , 2015 , Melvin returned to Purdue University as the defensive line coach for Darrell Hazell .","On 31 December 2015 , Melvin returned to Purdue University as Defensive Line Coach for Darrell Hazell .","December | , | the defensive line coach",December | Defensive Line Coach,"[(1, 2), (3, 4), (12, 16)]","[(2, 3), (11, 14)]",2
"Russ killed at least 74 people in Hainan , Guangdong and Guangxi Provinces and injured another 726 people .","In the provinces of Hainan , Guangdong , and Guangxi , Russ has killed at least 74 people and injured another 726 people .","in Hainan , Guangdong and Guangxi Provinces","In the provinces of Hainan , Guangdong , and Guangxi , | has","[(6, 13)]","[(0, 11), (12, 13)]",2
"After the death of her first husband , Tom Dalton married Katharina Dalton , who passed away in 1992 .","After the death of her first husband , Tom Dalton remarried Katharina Dalton , who passed away in 1992 .",married,remarried,"[(10, 11)]","[(10, 11)]",1
"The Franciscan is the literary magazine , with events , annual articles , submissions from students and from staff , and photographs .","The Franciscan is the literary magazine , with events , annual articles , submissions by students and staff and photographs .","from | from | ,",by,"[(14, 15), (17, 18), (19, 20)]","[(14, 15)]",1
"The last surviving independent local company , Wright Son , provided a service from Penycae to Wrexham via Rhos and later also via Ponciau .","The last surviving independent local company , Wright & Son , ran a service from Penycae to Wrexham via Rhos , and also via Ponciau later .",provided | later,"& | ran | , | later","[(10, 11), (20, 21)]","[(8, 9), (11, 12), (20, 21), (25, 26)]",4
"In contrast , cold years are often associated with dry Pacific La Niña episodes .","By contrast , cold years are often associated with dry Pacific La Niña episodes .",In,By,"[(0, 1)]","[(0, 1)]",1
Ciji Ware is the focus of Jane Maxwell Gordon 's novel `` Island of the Swans '' from 1989 .,Ciji Ware is the focus of Jane Maxwell Gordon 's 1989 novel `` Island of the Swans '' .,from 1989,1989,"[(17, 19)]","[(10, 11)]",1
"He is the son of Malaysia ’ s third prime minister , Najib Razak , and the cousin of the sixth and current prime minister , Hussein Onn .","He is the son of Malaysia 's third prime minister , Najib Razak , and the cousin of the sixth and current prime minister , Hussein Onn .",’ s,'s,"[(6, 8)]","[(6, 7)]",1
"For scalar fluctuations , formula _ 9 is referred to as the scalar spectral index , with formula _ 10 corresponding to scale invariant fluctuations .","For scalar fluctuations , Formula 9 is referred to as the scalar spectral index , with the formula 10 corresponding to scalar invariant fluctuations .",formula _ | _ | scale,Formula | the | scalar,"[(4, 6), (18, 19), (22, 23)]","[(4, 5), (16, 17), (21, 22)]",3
"In the Mudge Map 1815 , Ram Hill was known as Nutridge Hill , and was linked to Westerleigh by Broad Lane and to Mays Hill by Frog Lane .","In 1815 , Ram Hill was known as Nutridge Hill and was connected to Westerleigh by the Broad Lane and Mays Hill by Frog Lane .","the Mudge Map | , | linked | to",connected | the,"[(1, 4), (13, 14), (16, 17), (23, 24)]","[(12, 13), (16, 17)]",2
"After the war , the college returned to Hellenikon , where it remained until it moved to the new campus in Aghia Paraskevi , a suburb of Athens .","After the War the College returned to Hellenikon , where it remained until it moved to its new campus in Aghia Paraskevi , a suburb of Athens .","war , | college | the",War | College | its,"[(2, 4), (5, 6), (17, 18)]","[(2, 3), (4, 5), (16, 17)]",3
For a few years Björn went to the same school with Daniel and founded a band called Butler with Björn Dixgård at the age of fifteen .,For a few years Björn went to the same school as Daniel ; at the age of fifteen he founded a band called Butler together with Björn Dixgård .,with | and founded a band called Butler with Björn Dixgård,as | ; | he founded a band called Butler together with Björn Dixgård,"[(10, 11), (12, 21)]","[(10, 11), (12, 13), (18, 28)]",3
"The camp was sold in 1951 to the former Kenosha Council , and it was given when Racine and Kenosha - Council merged in 1971 .","The camp was sold to the former Kenosha Council in 1951 , and it was given when Racine and Kenosha Councils merged in 1971 .",in 1951 | - Council,in 1951 | Councils,"[(4, 6), (20, 22)]","[(9, 11), (20, 21)]",2
She was the `` Ashantian '' -- the first ship to bear this name ; the second having been sold in 1932 .,"She was the `` Ashantian '' -- the first ship to bear this name , the second was sold in 1932 .",; | having been,", | was","[(14, 15), (17, 19)]","[(14, 15), (17, 18)]",2
"The executive branch of the government consisted of the president , the prime minister , a number of federal ministers , and deputy prime ministers .","The executive branch of the government consisted of the president , the prime minister , a number of deputy prime ministers , and federal ministers .","federal ministers , and",", and federal ministers","[(18, 22)]","[(21, 25)]",1
"The South Kasai government was supported by , another Belgian mining company , which received concessions from the new state in return for financial support .","The South / Kazai government was supported by another Belgian mining company , which received concessions from the new state in return for financial support .","Kasai | ,",/ Kazai,"[(2, 3), (7, 8)]","[(2, 4)]",1
"Burton Creek State Park is a state park of California , USA , located in Placer County near Truckee .","Burton Creek State Park is a State Park of California , USA , in Placer County near Truckee .",state park | located,State Park,"[(6, 8), (13, 14)]","[(6, 8)]",1
The Field Field is the second largest shopping centre in Denmark and one of the biggest in Scandinavia .,Field 's is the second largest shopping centre in Denmark and one of the biggest in Scandinavia .,The | Field,'s,"[(0, 1), (2, 3)]","[(1, 2)]",1
"The 2013 Texas A 'M Aggies Football Team represented Texas A ' M University in the NCAA Division I FBS Football - Season 2013 , where they played their home games at Kyle Field .",The 2013 Texas A & M Aggies football team represented Texas A & M University in the 2013 NCAA Division I FBS football season . They played their home games at Kyle Field .,"'M | Football Team | ' | Football - Season 2013 , where they",& M | football team | & | 2013 | football season . They,"[(4, 5), (6, 8), (11, 12), (20, 27)]","[(4, 6), (7, 9), (12, 13), (17, 18), (22, 26)]",5
"Theodore was flogged , and , together with ten other monks , banished to Thessaloniki , while Platon was imprisoned in Constantinople .","Theodore was flogged and banished together with ten other monks to Thessaloniki , while Plato was imprisoned in Constantinople .",", | , | , banished | Platon",banished | Plato,"[(3, 4), (5, 6), (11, 13), (17, 18)]","[(4, 5), (14, 15)]",2
"On October 11 , 2007 , Naito defeated Daiki cameda by unanimous decision for the first defense of his WBC and lineal title .","On October 11 , 2007 , Naito defeated Daiki Kameda by unanimous decision for the first defense of his WBC and lineal titles .",cameda | title,Kameda | titles,"[(9, 10), (22, 23)]","[(9, 10), (22, 23)]",2
"Dennis is arrested and convicted to die with Hugh and Barnaby , Hugh and Dennis are pardoned , and Barnaby is hanged by the efforts of Gabriel Varden .","Dennis is arrested and sentenced to die with Hugh and Barnaby . Hugh and Dennis are pardoned . Barnaby , through the efforts of Gabriel Varden , is hanged .","convicted | , | , and | is hanged by","sentenced | . | . | , through | , is hanged","[(4, 5), (11, 12), (17, 19), (20, 23)]","[(4, 5), (11, 12), (17, 18), (19, 21), (26, 29)]",5
"Susie J. Clarke married Brown in Ayer , Massachusetts , on December 30 , 1888 .","On December 30 , 1888 , she married in Ayer , Massachusetts , Susie J. Clarke .","Susie J. Clarke | Brown | on December 30 , 1888","On December 30 , 1888 , she | Susie J. Clarke","[(0, 3), (4, 5), (10, 15)]","[(0, 7), (13, 16)]",2
"While at Wunderman , Espuelas worked in the accounts of American Express , General Foods Gevalia and Weight Watchers .","While at Wunderman , Espuelas worked on the American Express , General Foods Gevalia and Weight Watchers accounts .",in | accounts of,on | accounts,"[(6, 7), (8, 10)]","[(6, 7), (17, 18)]",2
"PATH - Service from the Exchange Place runs east to the World Trade Center , north to Newark Penn Station and west to Journal Square and Hoboken Terminal .","PATH service from Exchange Place runs east to the World Trade Center , north to Newark Penn Station , and west to Journal Square and Hoboken Terminal .",- Service | the,"service | ,","[(1, 3), (4, 5)]","[(1, 2), (18, 19)]",2
"The expressway continues another mile , crossing under several buildings in short tunnels , before crossing the Harlem River via the Alexander Hamilton Bridge into the Bronx .",The expressway continues for another mile and crosses several buildings in short tunnels before crossing the Harlem River into the Bronx via the Alexander Hamilton Bridge .,", crossing under | , | into the Bronx",for | and crosses | into the Bronx,"[(5, 8), (13, 14), (24, 27)]","[(3, 4), (6, 8), (18, 21)]",3
See : 32nd Canadian parliament then 33rd Canadian parliament,"See the 32nd Canadian Parliament , then 33rd Canadian Parliament",: | parliament | parliament,"the | Parliament , | Parliament","[(1, 2), (4, 5), (8, 9)]","[(1, 2), (4, 6), (9, 10)]",3
It was also produced by TV9 before their broadcast their own news programmes `` Berita TV9 '' respectively .,It was also produced by TV9 before they broadcast their own Berita TV9 `` news programmes .,their | news programmes `` | '' respectively,they | `` news programmes,"[(7, 8), (11, 14), (16, 18)]","[(7, 8), (13, 16)]",2
"On August 11 , 2005 , Iwanaga became Minister of Agriculture following the resignation of Yoshinobu Shimamura .","On 11 August 2005 , after the resignation of Yoshinobu Shimamura , Iwanaga became Minister of Agriculture .","August | , | following the resignation of Yoshinobu Shimamura","August | , after the resignation of Yoshinobu Shimamura","[(1, 2), (3, 4), (11, 17)]","[(2, 3), (4, 11)]",2
They finished the season 10 -- 2 total and 7 -- 0 play in OVC to win the conference championship .,They finished the season 10 -- 2 overall and 7 -- 0 in OVC play to win the conference championship .,total | play,overall | play,"[(7, 8), (12, 13)]","[(7, 8), (14, 15)]",2
