term,gloss,gen_z,normal,slang_word,literal_replacement,slang_word_position,slang_positions,literal_positions
boogawolf,n: (1) an ugly female,Nobody warned me about boogawolf.,Nobody warned me about n: (1) an ugly female.,boogawolf,n: (1) an ugly female.,4,"[(4, 5)]","[(4, 9)]"
choogle,"""to have a good raucous time, as defined by the following creedence clearwater revival lyrics: ""maybe you don't understand it",I can't handle this choogle anymore.,"I can't handle this situation of to have a good raucous time, as defined by the following creedence clearwater revival lyrics: ""maybe you don't understand it anymore.",choogle,"situation of to have a good raucous time, as defined by the following creedence clearwater revival lyrics: ""maybe you don't understand it",4,"[(4, 5)]","[(4, 26)]"
botud,black out throw up drunk,She's completely botud after that.,She's completely black out throw up drunk after that.,botud,black out throw up drunk,2,"[(2, 3)]","[(2, 7)]"
gourgeois,"""adj: (gor-zwah) when something is so amazing or beautiful the word ""gorgeous"" doesn't capture it",This is textbook gourgeois.,"This is a textbook case of adj: (gor-zwah) when something is so amazing or beautiful the word ""gorgeous"" doesn't capture it.",gourgeois,"a | case of adj: (gor-zwah) when something is so amazing or beautiful the word ""gorgeous"" doesn't capture it.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 21)]"
chichona,a girl that has big boobs,We've reached peak chichona.,We've reached peak a girl that has big boobs.,chichona,a girl that has big boobs.,3,"[(3, 4)]","[(3, 9)]"
brisvegas,"""ironic yet affectionate term for the city of brisbane, australia (population nearing 1",The brisvegas was unbearable.,"The ironic yet affectionate term for the city of brisbane, australia (population nearing 1 was unbearable.",brisvegas,"ironic yet affectionate term for the city of brisbane, australia (population nearing 1",1,"[(1, 2)]","[(1, 14)]"
califas,nikcname for the state of california used by the hispanic community especially southern california,Nobody warned me about califas.,Nobody warned me about nikcname for the state of california used by the hispanic community especially southern california.,califas,nikcname for the state of california used by the hispanic community especially southern california.,4,"[(4, 5)]","[(4, 18)]"
cannavo,"sexy italian beasts!!!! really smart, good-looking, proud, honest, and valued people",I can't handle this cannavo anymore.,"I can't handle this situation of sexy italian beasts!!!! really smart, good-looking, proud, honest, and valued people anymore.",cannavo,"situation of sexy italian beasts!!!! really smart, good-looking, proud, honest, and valued people",4,"[(4, 5)]","[(4, 17)]"
congratuwelldone,"""made famous by david walliams on ""the big fat quiz of the year"" 2006, it's fairly self explanitory - a cross between congratulations and well done""",Have you dealt with congratuwelldone before?,"Have you dealt with made famous by david walliams on ""the big fat quiz of the year"" 2006, it's fairly self explanitory - a cross between congratulations and well done before?",congratuwelldone,"made famous by david walliams on ""the big fat quiz of the year"" 2006, it's fairly self explanitory - a cross between congratulations and well done",4,"[(4, 5)]","[(4, 30)]"
choatie,"the quintessentially flawless and supremely intelligent student (who can spell quintessential and intelligent, unlike the [deerfieldian]s)",This is textbook choatie.,"This is a textbook case of the quintessentially flawless and supremely intelligent student (who can spell quintessential and intelligent, unlike the [deerfieldian]s).",choatie,"a | case of the quintessentially flawless and supremely intelligent student (who can spell quintessential and intelligent, unlike the [deerfieldian]s).",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 22)]"
cindybin,a yahoo message board troll,We've reached peak cindybin.,We've reached peak a yahoo message board troll.,cindybin,a yahoo message board troll.,3,"[(3, 4)]","[(3, 8)]"
bushshit,when the president confuses the truth by using the wrong words or just outright lies,Classic bushshit right there.,Classic case of president confuses the truth by using the wrong words or just outright lies.,bushshit,case of president confuses the truth by using the wrong words or just outright lies.,1,"[(1, 4)]","[(1, 16)]"
acoustifuxx,a band from denver colorado in the 1990's,Nobody warned me about acoustifuxx.,Nobody warned me about a band from denver colorado in the 1990's.,acoustifuxx,a band from denver colorado in the 1990's.,4,"[(4, 5)]","[(4, 12)]"
bigotch,a combination of the words bigot and bitch,I can't handle this bigotch anymore.,I can't handle this situation of a combination of the words bigot and bitch anymore.,bigotch,situation of a combination of the words bigot and bitch,4,"[(4, 5)]","[(4, 14)]"
danisha,"a really pretty girl,an amazing kissser ,very nice and smart",Have you dealt with danisha before?,"Have you dealt with a really pretty girl,an amazing kissser ,very nice and smart before?",danisha,"a really pretty girl,an amazing kissser ,very nice and smart",4,"[(4, 5)]","[(4, 14)]"
kalie,kalie is the best person you could ever find,This is textbook kalie.,This is a textbook case of kalie is the best person you could ever find.,kalie,a | case of kalie is the best person you could ever find.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 15)]"
jenky,"""extremely low in quality or base in thought, specifically used in the ghetto to replace ""ghetto"" as an adjective""",We've reached peak jenky.,"We've reached peak extremely low in quality or base in thought, specifically used in the ghetto to replace ""ghetto"" as an adjective.",jenky,"extremely low in quality or base in thought, specifically used in the ghetto to replace ""ghetto"" as an adjective.",3,"[(3, 4)]","[(3, 22)]"
bradistan,"""slang for bradford",The bradistan was unbearable.,The slang for bradford was unbearable.,bradistan,slang for bradford,1,"[(1, 2)]","[(1, 4)]"
achele,"the nickname for the glee pairing of rachel and quinn using the actresses' last names, michele and agron",Nobody warned me about achele.,"Nobody warned me about the nickname for the glee pairing of rachel and quinn using the actresses' last names, michele and agron.",achele,"the nickname for the glee pairing of rachel and quinn using the actresses' last names, michele and agron.",4,"[(4, 5)]","[(4, 22)]"
chacarron,"song by el mudo (feel free to translate that) really bad, yet incredibly good (funny)",I can't handle this chacarron anymore.,"I can't handle this situation of song by el mudo (feel free to translate that) really bad, yet incredibly good (funny) anymore.",chacarron,"situation of song by el mudo (feel free to translate that) really bad, yet incredibly good (funny)",4,"[(4, 5)]","[(4, 21)]"
heezy,(n) hook,Have you dealt with heezy before?,Have you dealt with (n) hook before?,heezy,(n) hook,4,"[(4, 5)]","[(4, 6)]"
choof,australian slang for the act of smoking cannabis sativa or indica through a bong,The art of choof takes practice.,The art of australian slang for the act of smoking cannabis sativa or indica through a bong takes practice.,choof,australian slang for the act of smoking cannabis sativa or indica through a bong,3,"[(3, 4)]","[(3, 17)]"
elgoog,"go to google and type in elgoog, then click on i'm feeling lucky to access a mirror world google",We've reached peak elgoog.,"We've reached peak go to google and type in elgoog, then click on i'm feeling lucky to access a mirror world google.",elgoog,"go to google and type in elgoog, then click on i'm feeling lucky to access a mirror world google.",3,"[(3, 4)]","[(3, 22)]"
unbeweavable,"when a weave goes so bad, it's beyond astonishment",Classic unbeweavable right there.,"Classic case of weave goes so bad, it's beyond astonishment.",unbeweavable,"case of weave goes so bad, it's beyond astonishment.",1,"[(1, 4)]","[(1, 10)]"
cuntlery,any object specifically designed for insertion into the vagina,Nobody warned me about cuntlery.,Nobody warned me about any object specifically designed for insertion into the vagina.,cuntlery,any object specifically designed for insertion into the vagina.,4,"[(4, 5)]","[(4, 13)]"
bushquote,a quote of something george w,I can't handle this bushquote anymore.,I can't handle this situation of a quote of something george w anymore.,bushquote,situation of a quote of something george w,4,"[(4, 5)]","[(4, 12)]"
deece,something that excites,Have you dealt with deece before?,Have you dealt with something that excites before?,deece,something that excites,4,"[(4, 5)]","[(4, 7)]"
alcoholocaust,"the aftermath of a drinking party, usually resulting in every available horizontal surface being covered in empty booze containers, spilled beverages, and a general sticky alcoholic residue",This is textbook alcoholocaust.,"This is a textbook case of the aftermath of a drinking party, usually resulting in every available horizontal surface being covered in empty booze containers, spilled beverages, and a general sticky alcoholic residue.",alcoholocaust,"a | case of the aftermath of a drinking party, usually resulting in every available horizontal surface being covered in empty booze containers, spilled beverages, and a general sticky alcoholic residue.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 33)]"
fambam,a reference to family/close friends that are like family,We've reached peak fambam.,We've reached peak a reference to family/close friends that are like family.,fambam,a reference to family/close friends that are like family.,3,"[(3, 4)]","[(3, 12)]"
bilgistic,"really good, great, etc",The bilgistic was unbearable.,"The really good, great, etc was unbearable.",bilgistic,"really good, great, etc",1,"[(1, 2)]","[(1, 5)]"
boganphobia,having a phobia of bogans,Nobody warned me about boganphobia.,Nobody warned me about having a phobia of bogans.,boganphobia,having a phobia of bogans.,4,"[(4, 5)]","[(4, 9)]"
blump,"recieving a blow job, while taking a dump",I can't handle this blump anymore.,"I can't handle this situation of recieving a blow job, while taking a dump anymore.",blump,"situation of recieving a blow job, while taking a dump",4,"[(4, 5)]","[(4, 14)]"
grood,"""a mixture of both ""great"" and ""good"" used by the cheerleader in teen girl squad (issue/tissue#4)",Have you dealt with grood before?,"Have you dealt with a mixture of both ""great"" and ""good"" used by the cheerleader in teen girl squad (issue/tissue#4) before?",grood,"a mixture of both ""great"" and ""good"" used by the cheerleader in teen girl squad (issue/tissue#4)",4,"[(4, 5)]","[(4, 20)]"
couchie,a slang term for a womens vagina,This is textbook couchie.,This is a textbook case of a slang term for a womens vagina.,couchie,a | case of a slang term for a womens vagina.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 13)]"
bushonomics,1/ negative debt financing which increases the us government's budget deficits and national debt,We've reached peak bushonomics.,We've reached peak 1/ negative debt financing which increases the us government's budget deficits and national debt.,bushonomics,1/ negative debt financing which increases the us government's budget deficits and national debt.,3,"[(3, 4)]","[(3, 17)]"
