normal,identical,literal_segments,identical_segments,literal_positions,identical_positions,num_differences
"2015 Played 4 Won 1 ( Canberra , Gold Coast ) , Lost 3 ( Melbourne , Penrith )","2015 Played 4 Won 1 ( Canberra , Gold Coast ) , Lost 3 ( Melbourne , Penrith )",Coast,Coast,"[(9, 10)]","[(9, 10)]",0
Both John Kerry in 2001 and Mark Warner lost counties in 2004 to Loudoun and Prince William .,Both John Kerry in 2001 and Mark Warner lost counties in 2004 to Loudoun and Prince William .,counties,counties,"[(9, 10)]","[(9, 10)]",0
Kayalar is a village connected to the Tirebolu district of the province of Giresun .,Kayalar is a village connected to the Tirebolu district of the province of Giresun .,Tirebolu,Tirebolu,"[(7, 8)]","[(7, 8)]",0
"In the 9th minute , Xabi Alonso opened the leadership , followed by Lewandowski four minutes later .","In the 9th minute , Xabi Alonso opened the leadership , followed by Lewandowski four minutes later .",leadership,leadership,"[(9, 10)]","[(9, 10)]",0
"The Croatian variant is played counter-clockwise , while in Montenegro the order is used clockwise .","The Croatian variant is played counter-clockwise , while in Montenegro the order is used clockwise .",in,in,"[(8, 9)]","[(8, 9)]",0
"Daryle Lamonica ran for three touchdowns , while Roger Hagberg and Hewritt Dixon threw for one touchdown each .","Daryle Lamonica ran for three touchdowns , while Roger Hagberg and Hewritt Dixon threw for one touchdown each .",Hagberg,Hagberg,"[(9, 10)]","[(9, 10)]",0
1938 : The for-profit Saint Francis Hospital Company becomes the non-profit Saint Francis Hospital Association .,1938 : The for-profit Saint Francis Hospital Company becomes the non-profit Saint Francis Hospital Association .,becomes,becomes,"[(8, 9)]","[(8, 9)]",0
"In November 2015 , Bensebaini was called up to the Tanzania national team for the first time for a pair of 2018 FIFA World Cup qualifiers against Algeria .","In November 2015 , Bensebaini was called up to the Tanzania national team for the first time for a pair of 2018 FIFA World Cup qualifiers against Algeria .",the,the,"[(14, 15)]","[(14, 15)]",0
Ivy Vujic married Jenkins on 2 April 2011 .,Ivy Vujic married Jenkins on 2 April 2011 .,on,on,"[(4, 5)]","[(4, 5)]",0
"The Potiskum Emirate was subjugated by the Ngizim people , who had organized the Karakare people .","The Potiskum Emirate was subjugated by the Ngizim people , who had organized the Karakare people .",people,people,"[(8, 9)]","[(8, 9)]",0
"The station was built in 1915 by the New York , New Haven and Hartford Railroad along the former Connecticut Valley Railroad line .","The station was built in 1915 by the New York , New Haven and Hartford Railroad along the former Connecticut Valley Railroad line .",Haven,Haven,"[(12, 13)]","[(12, 13)]",0
They trained in Dnipropetrovsk in very poor conditions until they were able to move to Kiev in 2003 ; Volosozhar was accompanied by her mother .,They trained in Dnipropetrovsk in very poor conditions until they were able to move to Kiev in 2003 ; Volosozhar was accompanied by her mother .,move,move,"[(13, 14)]","[(13, 14)]",0
"The Alliance Française de Dhaka is located at 26 Dhanmondi Road , Bangladesh , corner Mirpur Road , Dhanmondi , Dhaka No .","The Alliance Française de Dhaka is located at 26 Dhanmondi Road , Bangladesh , corner Mirpur Road , Dhanmondi , Dhaka No .",",",",","[(11, 12)]","[(11, 12)]",0
"For a number of reasons , some white colonies can not contain the desired recombinant plasmid .","For a number of reasons , some white colonies can not contain the desired recombinant plasmid .",colonies,colonies,"[(8, 9)]","[(8, 9)]",0
"There are seven picnic areas and several have reserved pavilions , the largest of which can accommodate up to 100 people and can be covered .","There are seven picnic areas and several have reserved pavilions , the largest of which can accommodate up to 100 people and can be covered .",of,of,"[(13, 14)]","[(13, 14)]",0
Ardning is a municipality in the district of Styria in the Austrian province of Liezen .,Ardning is a municipality in the district of Styria in the Austrian province of Liezen .,Styria,Styria,"[(8, 9)]","[(8, 9)]",0
"The trail of Salt Lake City , Utah to Los Angeles was usually restricted by a lack of water to the winter .","The trail of Salt Lake City , Utah to Los Angeles was usually restricted by a lack of water to the winter .",was,was,"[(11, 12)]","[(11, 12)]",0
"The Joint Typhoon Warning Center also recognized Hagupit as the 11th Typhoon Typhoon , 16th Tropical Storm and 18th Tropical Depression of the Pacific Typhoon Season 2008 .","The Joint Typhoon Warning Center also recognized Hagupit as the 11th Typhoon Typhoon , 16th Tropical Storm and 18th Tropical Depression of the Pacific Typhoon Season 2008 .",16th,16th,"[(14, 15)]","[(14, 15)]",0
"`` It was recorded before it was written '' , Paul Paul Webb explained .","`` It was recorded before it was written '' , Paul Paul Webb explained .",written,written,"[(7, 8)]","[(7, 8)]",0
"Old Polish language is the period in the history of the Polish language between the 9th and 16th centuries , followed by the middle Polish language .","Old Polish language is the period in the history of the Polish language between the 9th and 16th centuries , followed by the middle Polish language .",between,between,"[(13, 14)]","[(13, 14)]",0
"Johnson has worked in animal molecular genetics in laboratories in Sydney , Townsville Queensland , Melbourne and Boston USA .","Johnson has worked in animal molecular genetics in laboratories in Sydney , Townsville Queensland , Melbourne and Boston USA .",Sydney,Sydney,"[(10, 11)]","[(10, 11)]",0
"Franklin Township , Ripley County , Indiana was founded in 1855 and named after Franklin Township , the home of an early settler .","Franklin Township , Ripley County , Indiana was founded in 1855 and named after Franklin Township , the home of an early settler .",named,named,"[(12, 13)]","[(12, 13)]",0
There were also several animatronic characters created ... a doll playing goose ( Galaga ) and an animatronic head for the giant Cernos .,There were also several animatronic characters created ... a doll playing goose ( Galaga ) and an animatronic head for the giant Cernos .,(,(,"[(12, 13)]","[(12, 13)]",0
The original edition of the disc was published on 11 January 2006 in Singapore and on 26 January 2006 in Malaysia .,The original edition of the disc was published on 11 January 2006 in Singapore and on 26 January 2006 in Malaysia .,2006,2006,"[(11, 12)]","[(11, 12)]",0
"Where codice _ 3 is a type qualifier , which the unqualified type of codice _ 27 is codice _ 28 and the qualified type is codice _ 29 .","Where codice _ 3 is a type qualifier , which the unqualified type of codice _ 27 is codice _ 28 and the qualified type is codice _ 29 .",_,_,"[(15, 16)]","[(15, 16)]",0
"Henry Foss plays Ryan Robbins , who runs the Sanctuary 's computer and security systems .","Henry Foss plays Ryan Robbins , who runs the Sanctuary 's computer and security systems .",the,the,"[(8, 9)]","[(8, 9)]",0
"He died on February 19 , 1935 in Holyhood Cemetery , Brookline , Massachusetts , and was buried in Boston , Massachusetts .","He died on February 19 , 1935 in Holyhood Cemetery , Brookline , Massachusetts , and was buried in Boston , Massachusetts .",Brookline,Brookline,"[(11, 12)]","[(11, 12)]",0
"The association of the stylized eye with mirrors was so strong that in the art of Teotihuacan , human eyes were often used as a substitute for the face of a mirror .","The association of the stylized eye with mirrors was so strong that in the art of Teotihuacan , human eyes were often used as a substitute for the face of a mirror .",Teotihuacan,Teotihuacan,"[(16, 17)]","[(16, 17)]",0
"In October 2017 , the school joined Outwood Grange Academies Trust , and became Outwood Academy Redcar .","In October 2017 , the school joined Outwood Grange Academies Trust , and became Outwood Academy Redcar .",Academies,Academies,"[(9, 10)]","[(9, 10)]",0
"He was born in New York City and grew up in Athens , Greece , and then at North Grafton , Massachusetts .","He was born in New York City and grew up in Athens , Greece , and then at North Grafton , Massachusetts .",Athens,Athens,"[(11, 12)]","[(11, 12)]",0
The hall was left to Charles Loraine Smith who took the name Charles Loraine .,The hall was left to Charles Loraine Smith who took the name Charles Loraine .,Smith,Smith,"[(7, 8)]","[(7, 8)]",0
"Other R & D officials involved in the development of Bon Air were General Andrew Talcott , Col. Thomas M. Logan , Talcott 's son and Thomas Mann Randolph Talcott .","Other R & D officials involved in the development of Bon Air were General Andrew Talcott , Col. Thomas M. Logan , Talcott 's son and Thomas Mann Randolph Talcott .",Talcott,Talcott,"[(15, 16)]","[(15, 16)]",0
Justo buries Manuel alive and then goes away .,Justo buries Manuel alive and then goes away .,and,and,"[(4, 5)]","[(4, 5)]",0
There were 12 female and 31 male athletes representing the country at the summer - Paralympics 2000 .,There were 12 female and 31 male athletes representing the country at the summer - Paralympics 2000 .,the,the,"[(9, 10)]","[(9, 10)]",0
"The standards for 2005 were adopted by the California Energy Commission on 5 November 2003 and approved by the Building Standards Commission on July 21 , 2004 .","The standards for 2005 were adopted by the California Energy Commission on 5 November 2003 and approved by the Building Standards Commission on July 21 , 2004 .",2003,2003,"[(14, 15)]","[(14, 15)]",0
This is a list of the second football transfers for the `` Malaysian transfer window 2013 '' .,This is a list of the second football transfers for the `` Malaysian transfer window 2013 '' .,for,for,"[(9, 10)]","[(9, 10)]",0
"On January 18 , 2010 , Harry Mayes , paired with Bruno , returned to a daily show from noon to 2 PM on ESPN","On January 18 , 2010 , Harry Mayes , paired with Bruno , returned to a daily show from noon to 2 PM on ESPN",",",",","[(12, 13)]","[(12, 13)]",0
"During the early 21st century , certain real Island was occasionally listed as `` Lot 1 Norfolk Bay , Dunalley TAS 7177 '' on Smooth-estate classifieds .","During the early 21st century , certain real Island was occasionally listed as `` Lot 1 Norfolk Bay , Dunalley TAS 7177 '' on Smooth-estate classifieds .",``,``,"[(13, 14)]","[(13, 14)]",0
"TS can be derived theoretically for simple targets such as spheres and cylinders , but in practice , it is usually measured empirically or calculated with numerical models .","TS can be derived theoretically for simple targets such as spheres and cylinders , but in practice , it is usually measured empirically or calculated with numerical models .",but,but,"[(14, 15)]","[(14, 15)]",0
The surface of the W.Z.XII was conventional and the vertical surfaces were similar to those of W.Z.XI .,The surface of the W.Z.XII was conventional and the vertical surfaces were similar to those of W.Z.XI .,vertical,vertical,"[(9, 10)]","[(9, 10)]",0
A wide range of different radical monomers with a unique R can be synthesized .,A wide range of different radical monomers with a unique R can be synthesized .,with,with,"[(7, 8)]","[(7, 8)]",0
"The city is located to the northeast of Gaza - town and Mediterranean , west of Amman , Jordan , southeast of Tel Aviv , Israel and south of Jerusalem .","The city is located to the northeast of Gaza - town and Mediterranean , west of Amman , Jordan , southeast of Tel Aviv , Israel and south of Jerusalem .",of,of,"[(15, 16)]","[(15, 16)]",0
